motif_family	TF	std_over_alpha_traj	std_over_beta_traj	cc_over_alpha_traj	time_max_cc_over_alpha_traj	cc_over_beta_traj	time_max_cc_over_beta_traj	z_score
Pbx1_Pbx3	Pbx3	0.00805823221287914	0.00613709916391181	0.266370223942111	1494	0.236900438313834	1536	2.32547204914318
Pbx2	Pbx2	0.00945918337818865	0.00675965446473125	0.255974263013169	1630	0.164458333601235	-1596	2.20247041317093
Pgr_Nr3c1	Pgr	0.0182073116169067	0.0251558103807227	NaN	NaN	NaN	NaN	1.28070021859341
Pgr_Nr3c1	Nr3c1	0.0182073116169067	0.0251558103807227	0.138919433926895	1628	0.275003018778569	-1567	1.28070021859341
Pknox2_Pknox1	Pknox2	0.0223023417980682	0.0194541447426868	NaN	NaN	NaN	NaN	1.60832296431796
Pknox2_Pknox1	Pknox1	0.0223023417980682	0.0194541447426868	0.395540869310632	2	0.907647895611026	0	1.60832296431796
Plag1	Plag1	0.00361880572462627	0.00951208286899896	0.618550113632181	0	0.894589052223273	-74	1.48129537616067
Pou2f1	Pou2f1	0.0233927897712996	0.0352552774363427	0.240495723445287	-1573	0.129744704415933	1774	2.78627917741044
Pou6f2_Pou4f2	Pou6f2	0.0269016416620681	0.0159049268475408	0.971386337910924	0	0.425526556120298	-161	1.77658689291804
Pou6f2_Pou4f2	Pou4f2	0.0269016416620681	0.0159049268475408	NaN	NaN	NaN	NaN	1.77658689291804
Ppard	Ppard	0.0259093713880952	0.0245989046770458	0.222290149509025	-1613	0.967075479271328	-1	2.40797447023084
Pparg_Rxrg	Pparg	0.0081154687131936	0.00960521395746494	NaN	NaN	NaN	NaN	2.74965228250826
Pparg_Rxrg	Rxrg	0.0081154687131936	0.00960521395746494	0.995163872920211	-1	0.997150213651857	-1	2.74965228250826
Prox1	Prox1	0.0141115162138881	0.00395575794455262	0.960681496241179	0	0.23152885175016	-1597	2.00632591206472
Rad21_Smc3	Rad21	0.00578875758459665	0.0059211515137825	0.343724873457398	111	0.89458465760833	27	1.26076219982723
Rad21_Smc3	Smc3	0.00578875758459665	0.0059211515137825	0.623421866383009	-1	0.98326241893192	-1	1.26076219982723
Rara	Rara	0.0103317015381006	0.0126034596783492	0.201642813159206	848	0.205346030490671	-1524	3.07548892768347
Rbpj	Rbpj	0.00610287086494719	0.00153804085585235	0.86633838872795	-67	0.205871740046066	-1288	1.72833363850235
Rela_Rel_Nfkb1	Rela	0.00120605315524522	0.00204161493317791	0.291157269098305	1767	0.933268904330067	0	1.1978026685318
Rela_Rel_Nfkb1	Rel	0.00120605315524522	0.00204161493317791	NaN	NaN	NaN	NaN	1.1978026685318
Rela_Rel_Nfkb1	Nfkb1	0.00120605315524522	0.00204161493317791	0.130363994337248	1822	0.107145990076567	-1329	1.1978026685318
Relb	Relb	0.0176912103480356	0.0137787022186605	0.195967420987982	-1666	0.107506734330037	1512	1.59201728173083
Rest	Rest	0.0483202629962775	0.0558699885601972	0.256512928581957	1485	0.241526948432352	1494	2.17666128356356
Rfx2_Rfx7	Rfx2	0.0100324362693463	0.00896981596366138	0.873642136149728	0	0.822644676309044	1	1.54309694587938
Rfx2_Rfx7	Rfx7	0.0100324362693463	0.00896981596366138	0.0606086636867354	-434	0.227755533624179	1514	1.54309694587938
Rfx3_Rfx1_Rfx4	Rfx3	0.01906955874625	0.0176143049447238	0.0936616798667628	-1001	0.963193097243239	0	1.90609164078112
Rfx3_Rfx1_Rfx4	Rfx1	0.01906955874625	0.0176143049447238	NaN	NaN	NaN	NaN	1.90609164078112
Rfx3_Rfx1_Rfx4	Rfx4	0.01906955874625	0.0176143049447238	NaN	NaN	NaN	NaN	1.90609164078112
Rora	Rora	0.00234282920097599	0.00836873427420438	0.261000066544227	1660	0.266428691805973	1512	3.10083699714454
Rorc_Nr1d1	Rorc	0.0149747479673005	0.0159864026306367	0.222219209389742	-243	0.640760398744902	-147	1.36903691006424
Rorc_Nr1d1	Nr1d1	0.0149747479673005	0.0159864026306367	NaN	NaN	NaN	NaN	1.36903691006424
Rreb1	Rreb1	0.00905210177474732	0.0111615202348659	0.311332515974001	-1621	0.259047788829895	-1549	2.18532310024154
Runx2_Bcl11a	Runx2	0.00365443655794211	0.00396041180453541	NaN	NaN	NaN	NaN	4.72488697619732
Runx2_Bcl11a	Bcl11a	0.00365443655794211	0.00396041180453541	0.888170872972971	0	0.974427235092192	0	4.72488697619732
Rxrb	Rxrb	0.0115095685561812	0.0127947548986985	0.617758000272738	-1	0.276669426218087	-1496	1.64297274361316
Sin3a	Sin3a	0.00128282521697318	0.000125529416715837	0.512665148169655	4	0.413687502925056	-98	3.2365732816448
Smad1	Smad1	0.00351319845745194	0.00556867942021254	0.280456150910246	-1621	0.87227428999319	-74	2.57245507895847
Smad2	Smad2	0.00837000296733184	0.0114294921772831	0.276921043334339	-1610	0.234463696416342	-1503	1.85754740387351
Smad3	Smad3	0.0202130882645473	0.0178715961924151	0.90375921909047	2	0.92428241913607	2	1.66966524050114
Smad4	Smad4	0.00768129250480919	0.00158597840210771	0.473011678551427	-1	0.0817852371911023	-1396	1.93026862910899
Smarcc1_Fosl1	Smarcc1	0.00129232093070518	0.00562535876734849	0.227475208139613	105	0.987245248201293	-1	1.75175642779617
Smarcc1_Fosl1	Fosl1	0.00129232093070518	0.00562535876734849	NaN	NaN	NaN	NaN	1.75175642779617
Snai1_Zeb1_Snai2	Snai1	0.00199139486164713	0.000465090908074771	NaN	NaN	NaN	NaN	1.98036494750886
